"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"04-Jul-2017","       11.2000","       11.6450","       10.4200","       11.2750","       11.2000","        0.0800","   0.67"
"05-Jul-2017","       11.2750","       11.4200","       10.4500","       11.1525","       11.2750","       -0.1200","  -1.09"
"06-Jul-2017","       11.1525","       11.1750","       10.2875","       10.9825","       11.1525","       -0.1700","  -1.52"
"07-Jul-2017","       10.9825","       11.1250","        9.6150","       10.8675","       10.9825","       -0.1200","  -1.05"
"10-Jul-2017","       10.8675","       11.0925","        9.5700","       10.9125","       10.8675","        0.0500","   0.41"
"11-Jul-2017","       10.9125","       11.0775","        9.8975","       10.8900","       10.9125","       -0.0200","  -0.21"
"12-Jul-2017","       10.8900","       11.3000","        9.6725","       11.0525","       10.8900","        0.1600","   1.49"
"13-Jul-2017","       11.0525","       11.3950","        9.8600","       11.2475","       11.0525","        0.2000","   1.76"
"14-Jul-2017","       11.2475","       11.4775","       10.0650","       11.1725","       11.2475","       -0.0800","  -0.67"
"17-Jul-2017","       11.1725","       11.5675","       10.4800","       11.4575","       11.1725","        0.2900","   2.55"
"18-Jul-2017","       11.4575","       11.7900","       10.2850","       11.4900","       11.4575","        0.0300","   0.28"
"19-Jul-2017","       11.4900","       11.6850","        9.0775","       11.2550","       11.4900","       -0.2400","  -2.05"
"20-Jul-2017","       11.2550","       11.5675","       10.3700","       11.3150","       11.2550","        0.0600","   0.53"
"21-Jul-2017","       11.3150","       11.7150","        9.0075","       11.0850","       11.3150","       -0.2300","  -2.03"
"24-Jul-2017","       11.0850","       11.7950","       10.3575","       11.3125","       11.0850","        0.2300","   2.05"
"25-Jul-2017","       11.3125","       11.5125","       10.2350","       10.9125","       11.3125","       -0.4000","  -3.54"
"26-Jul-2017","       10.9125","       11.7750","       10.9075","       11.1700","       10.9125","        0.2600","   2.36"
"27-Jul-2017","       11.1700","       11.9150","       10.8100","       11.2175","       11.1700","        0.0500","   0.43"
"28-Jul-2017","       11.2175","       12.0150","       10.9825","       11.1375","       11.2175","       -0.0800","  -0.71"
"31-Jul-2017","       11.1375","       12.0325","       11.1375","       11.9000","       11.1375","        0.7600","   6.85"
"01-Aug-2017","       11.9000","       12.3925","       11.5875","       11.9075","       11.9000","        0.0100","   0.06"
"02-Aug-2017","       11.9075","       12.1725","       10.9225","       11.9425","       11.9075","        0.0400","   0.29"
"03-Aug-2017","       11.9425","       12.2325","       11.2075","       11.6425","       11.9425","       -0.3000","  -2.51"
"04-Aug-2017","       11.6425","       11.7450","       10.7450","       11.3900","       11.6425","       -0.2500","  -2.17"
"07-Aug-2017","       11.3900","       12.0025","       10.6400","       11.8950","       11.3900","        0.5100","   4.43"
"08-Aug-2017","       11.8950","       13.0450","       10.4850","       12.7700","       11.8950","        0.8800","   7.36"
"09-Aug-2017","       12.7700","       13.6775","       10.5150","       13.4525","       12.7700","        0.6800","   5.34"
"10-Aug-2017","       13.4525","       14.1675","       12.2300","       13.8025","       13.4525","        0.3500","   2.60"
"11-Aug-2017","       13.8025","       15.5425","       11.6700","       15.1950","       13.8025","        1.3900","  10.09"
"14-Aug-2017","       15.1950","       15.1950","       11.8575","       14.3825","       15.1950","       -0.8100","  -5.35"
"16-Aug-2017","       14.3825","       14.7000","       12.6200","       14.2375","       14.3825","       -0.1500","  -1.01"
"17-Aug-2017","       14.2375","       14.6225","       10.7925","       14.3400","       14.2375","        0.1000","   0.72"
"18-Aug-2017","       14.3400","       14.8900","       11.1675","       14.5700","       14.3400","        0.2300","   1.60"
"21-Aug-2017","       14.5700","       14.9650","       13.1450","       14.8150","       14.5700","        0.2500","   1.68"
"22-Aug-2017","       14.8150","       14.8150","       11.1625","       14.1050","       14.8150","       -0.7100","  -4.79"
"23-Aug-2017","       14.1050","       14.1050","       12.2625","       13.1825","       14.1050","       -0.9200","  -6.54"
"24-Aug-2017","       13.1825","       13.1950","       11.9425","       12.5725","       13.1825","       -0.6100","  -4.63"
"28-Aug-2017","       12.5725","       13.6775","       11.3650","       12.6400","       12.5725","        0.0700","   0.54"
"29-Aug-2017","       12.6400","       13.8525","       12.2800","       13.5425","       12.6400","        0.9000","   7.14"
"30-Aug-2017","       13.5425","       14.1300","       11.7450","       12.8875","       13.5425","       -0.6600","  -4.84"
"31-Aug-2017","       12.8875","       13.6950","       11.7850","       11.9525","       12.8875","       -0.9400","  -7.26"
"01-Sep-2017","       11.9525","       12.1575","       10.5250","       11.6750","       11.9525","       -0.2800","  -2.32"
